"","ID","POA_CODE","UHexceedence_iid","UHexceedence_BYM","RRF_iid","RRF_BYM"
"1",1,"0810",0.348322293604321,0.553055618734005,0.0849346850765798,0.087547707024811
"2",2,"0812",0.847403037474063,0.831524787468424,0.103968397775199,0.106336432819286
"3",3,"0820",0.437031130229721,0.599045416379815,0.0874048290504117,0.0909804867879238
"4",4,"0822",0.34080658380056,0.562430802682687,0.0840990262815266,0.0875101187809917
"5",5,"0830",0.995553948839756,0.927228291720753,0.126853587996228,0.123857227532433
"6",6,"0832",0.100882331889373,0.364859872574547,0.0731579829964719,0.0774209685643439
"7",7,"0836",0.46505921057519,0.679442913941162,0.0888427824262399,0.0972365807065703
"8",8,"0850",0.413166721569712,0.441968231253534,0.0863846242646918,0.0869461068655019
"9",9,"0852",0.147323472325597,0.427100122089128,0.0735291797601061,0.0804537546591471
"10",10,"0870",0.892834072355113,0.916837265717081,0.10677726790525,0.114761111577338
"11",11,"0872",0.983512817029568,0.934302826641975,0.126482599273789,0.123938286941518
"12",12,"2000",0.99997525039058,0.996024771934871,0.168100551851637,0.163937649872144
"13",13,"2007",0.642246797964888,0.874078127688316,0.0979560435671999,0.112356403656277
"14",14,"2009",0.538638377100996,0.84113063698051,0.0914759867627601,0.102823426707495
"15",15,"2010",0.649200393322814,0.844089416531764,0.0960855684476259,0.103299391699495
"16",16,"2011",0.623984915749399,0.847961170384152,0.0959165339095332,0.104775807226319
"17",17,"2015",0.169819980671398,0.406971104530486,0.0750433366518014,0.0806055561350503
"18",18,"2016",0.305470755611844,0.543686268306316,0.0814923865647563,0.0874125765953072
"19",19,"2017",0.729029395756783,0.748715522610738,0.0991080137931585,0.100423799731955
"20",20,"2018",0.713387366549774,0.843626288081996,0.0985012396333986,0.102088049681365
"21",21,"2019",0.385080874797448,0.710172478990517,0.0853530911526278,0.0928507553167263
"22",22,"2020",0.814668068157988,0.856225369744735,0.104366041404156,0.106852728260845
"23",23,"2021",0.0785000276199705,0.612725866842427,0.0702668836900236,0.080883277084099
"24",24,"2022",0.25599962815845,0.59516448027953,0.0796346549266535,0.0868643772561089
"25",25,"2023",0.535858897902519,0.617333477738023,0.0915190342082938,0.093630896180323
"26",26,"2024",0.662359412434953,0.744991980845664,0.0967069319786036,0.100567982467596
"27",27,"2025",0.46039570682583,0.570507710661964,0.0885627587465414,0.0916166482226718
"28",28,"2026",0.936905377309789,0.807069332264622,0.107057913789787,0.106390706645303
"29",29,"2027",0.417408950489868,0.596784955496336,0.0865789327181823,0.0910551860199734
"30",30,"2029",0.190217062686023,0.49413859972276,0.0765238683640157,0.0831704700229292
"31",31,"2030",0.675388987465621,0.696233217469163,0.0973380525923986,0.10041121428411
"32",32,"2031",0.931263291088889,0.855642866390239,0.105766162059253,0.105712331653314
"33",33,"2032",0.924348191840278,0.926031663452537,0.115702620859951,0.118398577050072
"34",34,"2033",0.94046932287463,0.921489264475107,0.119138590814159,0.118610657462588
"35",35,"2034",0.0630234400241381,0.302511415116964,0.0706341937781945,0.0743743866758263
"36",36,"2035",0.72620177766048,0.79864074175181,0.0965141606926001,0.0987433221403412
"37",37,"2036",0.831047616002117,0.804889520142938,0.101759807579913,0.104516104764026
"38",38,"2037",0.359439854796871,0.57376646210662,0.0841817043080056,0.0895994127228575
"39",39,"2038",0.218914525710895,0.166187080079403,0.077921526506121,0.0748855679620368
"40",40,"2039",0.852038171765669,0.408865628491905,0.106866732528725,0.0962194501427833
"41",41,"2040",0.000937607644772465,0.0224320668141214,0.0559800852494628,0.0567378135025097
"42",42,"2041",0.283308724828535,0.320559317688041,0.0817425324119453,0.0805247803929066
"43",43,"2042",0.0221179947570256,0.0745557880518803,0.0625162901872117,0.0631425619068093
"44",44,"2046",0.0342607069708923,0.142359033716192,0.0679269019511454,0.0698464744826251
"45",45,"2047",0.204210116365796,0.168148481811647,0.0772148679585859,0.0713778541513926
"46",46,"2048",0.473326119991517,0.122884032493972,0.089242128801188,0.0770185736620785
"47",47,"2049",0.159583959440674,0.0948503654795857,0.0742370994220284,0.0688602853778559
"48",48,"2060",0.697598389416805,0.819730511787489,0.098886445272455,0.10721250762363
"49",49,"2063",0.56642747172548,0.696574107379678,0.0939691827639849,0.101133920662772
"50",50,"2064",0.594019564298923,0.743826294153408,0.0942662430918699,0.0992856308923713
"51",51,"2065",0.776342224529539,0.806777080781746,0.0985604244573638,0.100838184109511
"52",52,"2066",0.534426646710554,0.71249836516537,0.0905395505913114,0.0940965911689735
"53",53,"2067",0.913810825266191,0.844148005253519,0.108772279828386,0.108035405727642
"54",54,"2068",0.364981986052605,0.6820410103377,0.0846978356021015,0.0910815913165046
"55",55,"2069",0.587932268774233,0.699239477741591,0.0935857352243788,0.0970234331940786
"56",56,"2070",0.555651412669613,0.716576823449773,0.0926095185912853,0.0969136805945807
"57",57,"2071",0.793313028535558,0.822864318829688,0.105188600003828,0.105531160043742
"58",58,"2072",0.874484861962566,0.905069828980402,0.113901213468109,0.119964894804202
"59",59,"2073",0.494487618871603,0.846819776545678,0.0897159531979971,0.0985890038391588
"60",60,"2074",0.60278839047724,0.888258449565936,0.0937872110668003,0.10148514056016
"61",61,"2075",0.706258566489381,0.860285939499822,0.0979868416472687,0.104266092693928
"62",62,"2076",0.878362933062463,0.849818447837762,0.107005685560667,0.109185090331595
"63",63,"2077",0.238277365464235,0.551345305222146,0.0816417899329347,0.085021565815273
"64",64,"2086",0.175632042052233,0.333535924068301,0.0755738633733004,0.0786368997951778
